full name,star number,,git url
openharmony/developtools_ace_js2bundle,11,,https://gitee.com/openharmony/developtools_ace_js2bundle.git
openharmony/developtools_profiler,11,,https://gitee.com/openharmony/developtools_profiler.git
openharmony/distributeddatamgr_data_object,11,,https://gitee.com/openharmony/distributeddatamgr_data_object.git
openharmony/distributedhardware_distributed_screen,11,,https://gitee.com/openharmony/distributedhardware_distributed_screen.git
openharmony/global_i18n,11,,https://gitee.com/openharmony/global_i18n.git
openharmony/notification_distributed_notification_service,11,,https://gitee.com/openharmony/notification_distributed_notification_service.git
openharmony/security_access_token,11,,https://gitee.com/openharmony/security_access_token.git
openharmony/telephony_state_registry,11,,https://gitee.com/openharmony/telephony_state_registry.git
openharmony/utils,11,,https://gitee.com/openharmony/utils.git
openharmony/base_location,10,,https://gitee.com/openharmony/base_location.git
openharmony/developtools_ace_ets2bundle,10,,https://gitee.com/openharmony/developtools_ace_ets2bundle.git
openharmony/device_board_hihope,10,,https://gitee.com/openharmony/device_board_hihope.git
openharmony/drivers_interface,10,,https://gitee.com/openharmony/drivers_interface.git
openharmony/global_resource_management,10,,https://gitee.com/openharmony/global_resource_management.git
openharmony/multimedia_medialibrary_standard,10,,https://gitee.com/openharmony/multimedia_medialibrary_standard.git
openharmony/wukong,10,,https://gitee.com/openharmony/wukong.git
openharmony/developtools_hapsigner,9,,https://gitee.com/openharmony/developtools_hapsigner.git
openharmony/hiviewdfx_hisysevent,9,,https://gitee.com/openharmony/hiviewdfx_hisysevent.git
openharmony/inputmethod_imf,9,,https://gitee.com/openharmony/inputmethod_imf.git
openharmony/powermgr_power_manager,9,,https://gitee.com/openharmony/powermgr_power_manager.git
openharmony/systemabilitymgr_safwk,9,,https://gitee.com/openharmony/systemabilitymgr_safwk.git
openharmony/third_party_weston,9,,https://gitee.com/openharmony/third_party_weston.git
openharmony/app_samples,8,,https://gitee.com/openharmony/app_samples.git
openharmony/developtools_bytrace,8,,https://gitee.com/openharmony/developtools_bytrace.git
